,lambda1,lambda2,lambda3,mu1,mu2,mu3,q12,q13,q21,q23,q31,q32
0,0.36463235653005494,0.5265866407961579,0.311208444936201,0.0982605781566118,0.22193283706662398,0.00961085121537998,0.204857053048909,0.84698508232832,0.886483889259398,0.4837818846106529,0.35394723229110203,0.427893530577421
1,0.28569668186828495,0.512190778593067,0.648665688198525,0.259353062676292,0.0600318747433701,0.24293496846563398,0.635926264710724,0.305497580952942,0.444971983134747,0.668970476277173,0.18813883122056702,0.5696962548419829
2,0.37807730020023905,0.43696596053428904,0.517314907575492,0.0913382934583103,0.343067271226471,0.45913815306292993,0.69595392588526,0.394261315092444,0.7261307375505569,0.47605906520038793,0.336033795028925,0.308515305258334
3,0.15573435862315801,0.48640172863146297,0.108650558171794,0.144567443986332,0.0039548964327605,0.0243896107266929,0.766511308588088,0.719235669635236,0.36627374645322597,0.7002588521689179,0.5701965391635889,0.268057864159346
4,0.5298019027686679,0.41721844726009294,0.5126976522896439,0.23572720646317102,0.191482727470465,0.440480632912541,0.678727054223418,0.17472863700240898,0.319086207263172,0.5069026282057171,0.539632962085307,0.31685807816684197
5,0.58355624535121,0.32786677479278303,0.23546359994215899,0.491029236853654,0.21649686827873896,0.11906937876096402,0.226854432187974,0.175996561720967,0.28952305596321803,0.451237443834543,0.738047190383077,0.400692931376398
6,0.7219057863764459,0.22859722210327202,0.5698248488409449,0.711546613264259,0.0271622487224693,0.296627466006992,0.19884860031306698,0.6318387135863299,0.6008439986035229,0.784373107366264,0.14090412780642497,0.6982229484245179
7,0.14094950740225598,0.6181452633393929,0.5798813307052479,0.0795296236847155,0.184988574165353,0.23937726119411604,0.280093092471361,0.5510082941502329,0.46936513409018504,0.646139339357614,0.673328800499439,0.8524705221876501
8,0.468935595622752,0.577027423349209,0.44070897759869704,0.18185935978249101,0.196925316985987,0.387947004480379,0.54074098803103,0.602676395699382,0.449298940226436,0.8934223446995021,0.4952360579743979,0.704790697060525
9,0.47716583542292895,0.321241673096083,0.650237556768116,0.0994138245367302,0.125540747167611,0.141343156887455,0.30204113908112107,0.5906989844515921,0.711833850853145,0.12435873076319698,0.8326375501230359,0.45567608643323204
10,0.5424449500767511,0.563802424401511,0.528203789622057,0.0038378882465213296,0.291929484103488,0.299256397382643,0.12227545250207199,0.8311737321317201,0.417678324133158,0.184456460550427,0.8707205023616551,0.23041666653007298
11,0.5614625444868578,0.43239784576930107,0.478916282849386,0.0586425847422194,0.201030589960638,0.35248254989169503,0.644818985275924,0.360253075137734,0.598339900001884,0.8942266907542941,0.6266243796795611,0.670549658127129
12,0.680322229531594,0.566556872702204,0.511828547103796,0.0236397491413769,0.459566620161461,0.0066119140809223105,0.6920515207573772,0.525336817651987,0.21546488348394602,0.161413099616766,0.788324336521327,0.282777927070856
13,0.716622453348245,0.602386821040418,0.533265269137919,0.46961310788127797,0.303593689085621,0.20004059052163697,0.8824767453596001,0.3808151420205829,0.893630524724722,0.17493248451501098,0.38376479037106,0.49676009491086
14,0.559493509451859,0.407042952282354,0.653296273183078,0.0437170847367699,0.123024409089236,0.10286608641727699,0.37856952548027,0.35202771294862,0.683282963745296,0.642133539915085,0.275243771448731,0.499331594072282
15,0.652232134793885,0.275169428295922,0.115836001830176,0.27909037163771006,0.0515652920198156,0.007820312844281209,0.351366719976068,0.836441683396697,0.43970029000192895,0.48815675973892203,0.7740302156656981,0.466427005641162
16,0.14694816987961498,0.578604940546211,0.38501651260769004,0.0146547552725404,0.141208372653459,0.157467268779376,0.349556885287166,0.418506449460983,0.5914456214755771,0.8900025526061651,0.614031576924026,0.24916333705186802
17,0.19852893078466896,0.23730484697502102,0.47817925556562796,0.17760778318763698,0.0791797735671155,0.0165281012392117,0.375190295092762,0.22922273594886103,0.894952493719757,0.63138083089143,0.320622821711004,0.597984440624714
18,0.3825410408456811,0.45846590820699895,0.325197086266708,0.11892557819992998,0.206811518063262,0.0153605496541621,0.275144389085472,0.37123365439474604,0.7702215310186149,0.124134504795074,0.6785713315010071,0.36846180558204705
19,0.19359091886086396,0.348512077906635,0.140088820224628,0.023851780245560998,0.10324277095406299,0.0956401481903889,0.599866371043026,0.4823589900508521,0.192514069378376,0.329883804358542,0.53794601149857,0.48696222417056606
20,0.528570910065901,0.46229269918752797,0.6780757581326179,0.22579303110595497,0.263966226033599,0.11915664311842998,0.625325443968177,0.292983140610158,0.39871297795325505,0.393879155255854,0.325564625300467,0.144874650239944
21,0.231683827121742,0.35379499582108104,0.450057577565312,0.0463665046192105,0.33897453621658,0.350521782759828,0.7361505622044209,0.12620210852474,0.160452063381672,0.44890914373099794,0.18931131344288601,0.6497772047296171
22,0.65912942892639,0.39038739430019603,0.11385066323913601,0.0897825978288502,0.11906814278361098,0.0819439704312428,0.642205802537501,0.5401241196319461,0.890930078364909,0.62798591516912,0.16169519275426902,0.4138357581570751
23,0.41139601729344605,0.32500958158401805,0.167246238698717,0.195080462681748,0.273860822304499,0.0368442096158492,0.369917806237936,0.693497084453702,0.335083865188062,0.6734129166230561,0.8447896989062429,0.431873713433743
24,0.267823119403329,0.209106338752899,0.16681830658344599,0.19569217882840698,0.118783476504412,0.010831077962836002,0.5291147116571671,0.796263973601162,0.8915704235434531,0.448308265209198,0.24112122710794198,0.611697252467275
25,0.34946289566811195,0.433950416829903,0.612920642357785,0.17526803270921498,0.0622723655513472,0.167113381646069,0.7738399477675558,0.44954426959156996,0.269129757210612,0.730475087091327,0.39755293615162396,0.134346984140575
26,0.437891954639927,0.647104879843537,0.194856294863857,0.31493363737685404,0.479766128688994,0.155450730440896,0.7126471839845179,0.433435373567045,0.5005750346928839,0.575513017177582,0.18016513902694,0.775433916971087
27,0.6099079638184051,0.41482055791188,0.346775757549331,0.550814682469974,0.39793854878356705,0.12096513586421499,0.41473631411790796,0.6681259296834471,0.25806405209004896,0.409850348345935,0.30186255294829606,0.190998746827245
28,0.541658946117386,0.36174235848011405,0.503493959293701,0.33447535501625103,0.0757435596460445,0.414391819599691,0.629890017211437,0.7019712034612889,0.680418645218015,0.593782288953662,0.769026172161102,0.48309717159718296
29,0.6786074380297211,0.216850009493064,0.432274410300888,0.0775658543373467,0.0870281416218579,0.261069527233967,0.39877370223402997,0.32603175416588803,0.7278018886223442,0.269242840074003,0.770368979312479,0.823352690599859
30,0.138306143395603,0.500881916573271,0.701126210244838,0.0470619955645757,0.38742491782428706,0.145387542853176,0.36199362743645896,0.329887113161385,0.48360406104475295,0.42945368140935897,0.34290871899575004,0.824567125178874
31,0.31179701962042605,0.378036860199645,0.214405403272249,0.022430617389582998,0.0520569260712292,0.0126187277628375,0.375351596437395,0.47768781129270793,0.488389804027975,0.219717299751937,0.49018712900579,0.820647470094264
32,0.5955189154949039,0.254872525902465,0.6782539628003721,0.24227190761811,0.24619862393076603,0.6034918868695339,0.778826918452978,0.238569259643555,0.7402070557698609,0.7177230451256039,0.304428360052407,0.5905255634337659
33,0.42312135326210404,0.363846629068721,0.581839415978175,0.103300074069777,0.0417066615079645,0.38608028112309595,0.8670228663831949,0.159524659067392,0.600158779323101,0.553020444139838,0.874302783608437,0.290317532792687
34,0.5037397149973549,0.657904555704445,0.304885228483472,0.0341666214301903,0.42963909748192297,0.24286697286419395,0.652261419594288,0.16900936905294697,0.233947513997555,0.19432083442807196,0.6874808125197889,0.5167526572942729
35,0.43873239952139603,0.456310839869548,0.7295017712307159,0.122917175415712,0.22093329747610602,0.052397921179564,0.779529929533601,0.684203844517469,0.5137420171871779,0.47839826270937896,0.500668695196509,0.26401722002774497
36,0.396792015293613,0.412178907166235,0.578120712991804,0.0442790626719168,0.39362160727806894,0.109746278839481,0.643676051683724,0.364059281349182,0.7762131517753,0.36598950084298904,0.777391778491437,0.8880137993022801
37,0.543234262478072,0.218387642765883,0.325437006468419,0.119582501739912,0.191706802240986,0.0126609847669271,0.845007530041039,0.878268992528319,0.355836795084178,0.8877541489899159,0.501737840659916,0.332062215730548
38,0.21932347653433698,0.6541506042797121,0.467160519482568,0.139531306786924,0.505894606446476,0.26256336389775103,0.334706439636648,0.537464624084532,0.18362760562449698,0.278066170960665,0.11100236419588301,0.24317587707191698
39,0.6772980609955269,0.157218372693751,0.686016540138517,0.555471079956499,0.0339919665929594,0.480388353335084,0.33936344776302596,0.612361279688776,0.146398694813252,0.271870674565434,0.104267971031368,0.5528043124824761
40,0.412713665945921,0.450387577305082,0.546851646611467,0.200328217820061,0.18859676321051602,0.47149820493839,0.825103733688593,0.5448121033608909,0.451844043843448,0.161457971669734,0.39462414104491494,0.618450740911067
41,0.14980388422729402,0.6960577164799909,0.552550624681171,0.00905438751907093,0.192251582241585,0.11272842581957901,0.561955385096371,0.227481629140675,0.303959508240223,0.872301691770554,0.197441762499511,0.650892714597285
42,0.359817258322146,0.41079682889860103,0.39947745716664895,0.168325535673991,0.34791799958184993,0.270203292748966,0.787447722628713,0.702871685102582,0.481632062420249,0.5361145891249179,0.624330829456449,0.6065254328772429
43,0.228749955801759,0.6058177727460861,0.44521156790433397,0.168415217856648,0.304387863284368,0.1266162750292,0.143085848726332,0.754013448022306,0.6519703783094879,0.8358762789517641,0.516981720365584,0.276143616251648
44,0.6965342965535821,0.6022182528791021,0.552850290753413,0.0285913471731352,0.129582071405361,0.261894017574549,0.65629419349134,0.43691234402358503,0.3970944508910179,0.35648611132055497,0.8417829589918259,0.8758338583633299
45,0.445660936611239,0.48434743040474104,0.585306721380912,0.202835564435838,0.41699405465005396,0.07951137977582699,0.621839267015457,0.17387548051774498,0.7880535153672099,0.250665167160332,0.589024345390499,0.39247319176793105
46,0.47344578705728096,0.20704575793352,0.274218169164378,0.253240100424543,0.07277313427152701,0.173340193511871,0.878906688839197,0.271126894280314,0.83753802254796,0.523850475251675,0.407260203920305,0.462835972569883
47,0.17958348666550603,0.6223238419578411,0.702297135547269,0.0834428423125601,0.18459952828003,0.17819349933194395,0.36143145002424704,0.45369949284940997,0.764345506392419,0.748188138008118,0.777490555495024,0.419180178269744
48,0.7217178764077841,0.22368216230301197,0.5409287470881831,0.0429144522312724,0.0598995614591461,0.534039782530729,0.232281178981066,0.240922149084508,0.7195607354864479,0.575967439264059,0.41212033592164504,0.433341997116804
49,0.5531053375243211,0.2598293534806,0.5212252980656921,0.15302144605569198,0.22422545838275898,0.48191948921474503,0.592687626183033,0.5282595297321679,0.574174254387617,0.39996130000799895,0.696516311913729,0.159903383441269
50,0.41886574522592107,0.28168281701393394,0.29689068528590695,0.125777254211835,0.16784079418299203,0.13734058659091,0.8988036427646879,0.245585776679218,0.265179328806698,0.7184907797724008,0.5157835315912961,0.8880260022357109
51,0.19261970962630603,0.607379826295655,0.474681936998386,0.138065053916907,0.46048197761132104,0.222260068499807,0.17094839625060598,0.37746755201369503,0.505043409578502,0.422455435432494,0.3599306650459771,0.5937642298638821
52,0.280910736087244,0.312923555767629,0.271031532145571,0.23170509578101398,0.20580073228801601,0.19736802797878197,0.29323841668665396,0.588662641122937,0.8280049279332159,0.347587481886148,0.226398739032447,0.582991740480065
53,0.19603002196410702,0.40710568697191796,0.7162394096981729,0.0420231431112624,0.0445173453708995,0.39738462214755604,0.7195251094177372,0.733011334761977,0.774698766879737,0.25150557085871694,0.389902062900364,0.7212514150887729
54,0.638354783847462,0.157542505394667,0.674093023876194,0.0784740638786687,0.00442877370527801,0.40573003302007205,0.45520887747407,0.179152426123619,0.7337429093196991,0.841070891544223,0.44214344825595603,0.7069631036370991
55,0.622004439353477,0.693116714737844,0.16436138820601598,0.20737676096285398,0.35101169134563903,0.00562174515399305,0.8027595402672891,0.21300303544849203,0.64193404763937,0.35441504884511205,0.169260141439736,0.860785781405866
56,0.668088132345583,0.723193241297267,0.5865532449120661,0.30424170395012895,0.511125781278136,0.451325538694239,0.571789964474738,0.7747326817363499,0.824404249340296,0.21568691972643103,0.650797858089209,0.181156519055367
57,0.4414215485216121,0.149590134527534,0.574747542920522,0.220559680115525,0.112192869985797,0.34267977712007897,0.320141589455307,0.58841008041054,0.7606523808091881,0.127012616582215,0.383471997454762,0.857358141057193
58,0.28615818568505297,0.643998445149045,0.701624530837871,0.19144576616465603,0.108066873548808,0.36193725527220505,0.8034350819885729,0.635341208055615,0.7138982543721801,0.516707527078688,0.477221810817719,0.433164219744503
59,0.587154180158395,0.191286804149859,0.34159966233884903,0.24768856477700602,0.0624509277732136,0.0337148003764377,0.5246831865981221,0.27160283755510994,0.646863040328026,0.23399848043918603,0.25007987730205106,0.43816691339016
60,0.7198898285254841,0.41337358680320896,0.6801469668908979,0.400868445104736,0.0037596882523186796,0.679943108585901,0.543866932578385,0.383472430333495,0.470851657539606,0.65860630646348,0.39929912220686703,0.7780561365187171
61,0.49132387088844603,0.24864601335255399,0.18139469369081798,0.29540620734430606,0.094536111380967,0.0130623494312101,0.8013795645907521,0.8015710294246671,0.15398444570601003,0.243595184572041,0.7574640998616821,0.706351459398866
62,0.697072737230919,0.7218562379293141,0.116767430992331,0.0426665932805682,0.10696719487426899,0.0222744483349533,0.17996446546167102,0.199940666742623,0.807191735506058,0.801907914504409,0.8253656653687359,0.150251177884638
63,0.40684100061422207,0.236685504294001,0.13126993371872198,0.0404589291781132,0.00706994088399515,0.128667000526308,0.800172637403011,0.320323619432747,0.7586641101166609,0.316536215879023,0.749800596572459,0.8060798382386569
64,0.24946276770671805,0.53502008860698,0.553683192299213,0.0263779388368955,0.367544904152657,0.218386951706665,0.719853322207928,0.6650107024237509,0.31731332782655997,0.404141831025481,0.499363156966865,0.7109016571193929
65,0.35826513097854296,0.39200624611927204,0.181982806175947,0.18720693648041603,0.34851436249880396,0.059205478224322,0.6927148124203089,0.310117275826633,0.297480657696724,0.19116358757019003,0.46079534031450803,0.783437864109874
